run_folder	amplicon	barcode	sample_id	tissue	lab_id	notes
20260603_DRB3_24_Blood_Samples	DRB3	barcode01	3209	blood	DC_B3209_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode02	3216	blood	DC_B3216_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode03	3266	blood	DC_B3266_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode04	3267	blood	DC_B3267_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode05	3283	blood	DC_B3283_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode06	3300	blood	DC_B3300_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode07	3303	blood	DC_B3303_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode08	3307	blood	DC_B3307_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode09	3371	blood	DC_B3371_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode10	3380	blood	DC_B3380_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode11	3381	blood	DC_B3381_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode12	3388	blood	DC_B3388_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode13	3391	blood	DC_B3391_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode14	3398	blood	DC_B3398_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode15	3399	blood	DC_B3399_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode16	3406	blood	DC_B3406_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode17	3409	blood	DC_B3409_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode18	3499	blood	DC_B3499_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode19	3512	blood	DC_B3512_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode20	3530	blood	DC_B3530_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode21	3536	blood	DC_B3536_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode22	3554	blood	DC_B3554_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode23	3555	blood	DC_B3555_052026	
20260603_DRB3_24_Blood_Samples	DRB3	barcode24	3558	blood	DC_B3558_052026	
