run_folder	amplicon	barcode	sample_id	tissue	lab_id	notes
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode01	L052926_3.1	liver	L052926_3.1	animal3_subsample1
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode02	L052926_3.2	liver	L052926_3.2	animal3_subsample2
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode03	L052926_3.3	liver	L052926_3.3	animal3_subsample3
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode04	L052926_4.1	liver	L052926_4.1	animal4_subsample1
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode05	L052926_4.2	liver	L052926_4.2	animal4_subsample2
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode06	L052926_4.3	liver	L052926_4.3	animal4_subsample3
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode07	L052926_5.1	liver	L052926_5.1	animal5_subsample1
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode08	L052926_5.2	liver	L052926_5.2	animal5_subsample2
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode09	L052926_5.3	liver	L052926_5.3	animal5_subsample3
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode10	L052926_6.1	liver	L052926_6.1	animal6_subsample1
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode11	L052926_6.2	liver	L052926_6.2	animal6_subsample2
20260605_36_Liver_Samples_Short_PCR	Bov7/11	barcode12	L052926_6.3	liver	L052926_6.3	animal6_subsample3
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode13	L052926_3.1	liver	L052926_3.1	animal3_subsample1
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode14	L052926_3.2	liver	L052926_3.2	animal3_subsample2
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode15	L052926_3.3	liver	L052926_3.3	animal3_subsample3
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode16	L052926_4.1	liver	L052926_4.1	animal4_subsample1
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode17	L052926_4.2	liver	L052926_4.2	animal4_subsample2
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode18	L052926_4.3	liver	L052926_4.3	animal4_subsample3
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode19	L052926_5.1	liver	L052926_5.1	animal5_subsample1
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode20	L052926_5.2	liver	L052926_5.2	animal5_subsample2
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode21	L052926_5.3	liver	L052926_5.3	animal5_subsample3
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode22	L052926_6.1	liver	L052926_6.1	animal6_subsample1
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode23	L052926_6.2	liver	L052926_6.2	animal6_subsample2
20260605_36_Liver_Samples_Short_PCR	BosEx	barcode24	L052926_6.3	liver	L052926_6.3	animal6_subsample3
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode25	L052926_3.1	liver	L052926_3.1	animal3_subsample1
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode26	L052926_3.2	liver	L052926_3.2	animal3_subsample2
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode27	L052926_3.3	liver	L052926_3.3	animal3_subsample3
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode28	L052926_4.1	liver	L052926_4.1	animal4_subsample1
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode29	L052926_4.2	liver	L052926_4.2	animal4_subsample2
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode30	L052926_4.3	liver	L052926_4.3	animal4_subsample3
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode31	L052926_5.1	liver	L052926_5.1	animal5_subsample1
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode32	L052926_5.2	liver	L052926_5.2	animal5_subsample2
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode33	L052926_5.3	liver	L052926_5.3	animal5_subsample3
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode34	L052926_6.1	liver	L052926_6.1	animal6_subsample1
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode35	L052926_6.2	liver	L052926_6.2	animal6_subsample2
20260605_36_Liver_Samples_Short_PCR	DRB3	barcode36	L052926_6.3	liver	L052926_6.3	animal6_subsample3
