run_folder	amplicon	barcode	sample_id	tissue	lab_id	notes
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode01	3209	blood	DC_B3209_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode02	3216	blood	DC_B3216_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode03	3266	blood	DC_B3266_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode04	3267	blood	DC_B3267_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode05	3283	blood	DC_B3283_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode06	3300	blood	DC_B3300_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode07	3303	blood	DC_B3303_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode08	LC_B3307_052026	56.0	2026-05-26	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode09	3371	blood	DC_B3371_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode10	3380	blood	DC_B3380_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode11	3381	blood	DC_B3381_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode12	3388	blood	DC_B3388_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode13	3391	blood	DC_B3391_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode14	3398	blood	DC_B3398_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode15	3399	blood	DC_B3399_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode16	3406	blood	DC_B3406_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode17	3409	blood	DC_B3409_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode18	3499	blood	DC_B3499_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode19	3512	blood	DC_B3512_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode20	3530	blood	DC_B3530_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode21	3536	blood	DC_B3536_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode22	3554	blood	DC_B3554_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode23	3555	blood	DC_B3555_052026	
20260618_24_Blood_Samples_BosEx_5UTR	BosEx	barcode24	3558	blood	DC_B3558_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode25	3209	blood	DC_B3209_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode26	3216	blood	DC_B3216_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode27	3266	blood	DC_B3266_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode28	3267	blood	DC_B3267_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode29	3283	blood	DC_B3283_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode30	3300	blood	DC_B3300_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode31	3303	blood	DC_B3303_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode32	3307	blood	DC_B3307_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode33	3371	blood	DC_B3371_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode34	3380	blood	DC_B3380_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode35	3381	blood	DC_B3381_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode36	3388	blood	DC_B3388_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode37	3391	blood	DC_B3391_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode38	3398	blood	DC_B3398_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode39	3399	blood	DC_B3399_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode40	3406	blood	DC_B3406_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode41	3409	blood	DC_B3409_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode42	3499	blood	DC_B3499_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode43	3512	blood	DC_B3512_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode44	3530	blood	DC_B3530_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode45	3536	blood	DC_B3536_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode46	3554	blood	DC_B3554_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode47	3555	blood	DC_B3555_052026	
20260618_24_Blood_Samples_BosEx_5UTR	5UTR	barcode48	3558	blood	DC_B3558_052026	
