run_folder	amplicon	barcode	sample_id	tissue	lab_id	notes
20260708_Blood_Samples_3amp	Bov7/11	barcode49	3209	blood	DC_B3209_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode50	3216	blood	DC_B3216_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode51	3266	blood	DC_B3266_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode52	3267	blood	DC_B3267_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode53	3283	blood	DC_B3283_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode54	3300	blood	DC_B3300_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode55	3303	blood	DC_B3303_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode56	3307	blood	DC_B3307_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode57	3371	blood	DC_B3371_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode58	3380	blood	DC_B3380_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode59	3381	blood	DC_B3381_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	Bov7/11	barcode60	3388	blood	DC_B3388_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode61	3209	blood	DC_B3209_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode62	3216	blood	DC_B3216_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode63	3266	blood	DC_B3266_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode64	3267	blood	DC_B3267_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode65	3283	blood	DC_B3283_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode66	3300	blood	DC_B3300_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode67	3303	blood	DC_B3303_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode68	3307	blood	DC_B3307_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode69	3371	blood	DC_B3371_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode70	3380	blood	DC_B3380_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode71	3381	blood	DC_B3381_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	BosEx	barcode72	3388	blood	DC_B3388_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode73	3209	blood	DC_B3209_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode74	3216	blood	DC_B3216_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode75	3266	blood	DC_B3266_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode76	3267	blood	DC_B3267_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode77	3283	blood	DC_B3283_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode78	3300	blood	DC_B3300_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode79	3303	blood	DC_B3303_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode80	3307	blood	DC_B3307_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode81	3371	blood	DC_B3371_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode82	3380	blood	DC_B3380_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode83	3381	blood	DC_B3381_070626	new_extraction_Jul2026
20260708_Blood_Samples_3amp	DRB3	barcode84	3388	blood	DC_B3388_070626	new_extraction_Jul2026
